year,round,pick,team,player,keeper
2019,3,2,Autodrafts 2.0,Julian Edelman,False
2019,3,3,I  Absolutely suck,George Kittle,False
2019,3,4,Doug Dimmadome,Keenan Allen,False
2019,3,5,Fourn(ette) ication,Leonard Fournette,False
2019,3,6,New Season New me,Kerryon Johnson,False
2019,3,7,Dont call it  A come back,Melvin Gordon,False
2019,3,8,Full Chubb,Zach Ertz,False
2019,3,9,B T C,Aaron Jones,False
2019,3,10,200 .0,Adam Thielen,False
2019,4,1,200 .0,Patrick Mahomes,False
2019,4,2,B T C,Damien Williams,False
2019,4,3,Full Chubb,Amari Cooper,False
2019,4,4,Dont call it  A come back,Brandin Cooks,False
2019,4,5,New Season New me,Deshaun Watson,False
2019,4,6,Fourn(ette) ication,Devonta Freeman,False
2019,4,7,Doug Dimmadome,Sony Michel,False
2019,4,8,I  Absolutely suck,Stefon Diggs,False
2019,4,9,Autodrafts 2.0,Josh Jacobs,False
2019,4,10,Second Round Bye,Chris Carson,False
2019,5,1,Second Round Bye,Robert Woods,False
2019,5,2,Autodrafts 2.0,Derrick Henry,False
2019,5,3,I  Absolutely suck,Aaron Rodgers,False
2019,5,4,Doug Dimmadome,A.J. Green,False
2019,5,5,Fourn(ette) ication,Chris Godwin,False
2019,5,6,New Season New me,Tyler Boyd,False
2019,5,7,Dont call it  A come back,Drew Brees,False
2019,5,8,Full Chubb,Kenny Golladay,False
2019,5,9,B T C,Mark Ingram II,False
2019,5,10,200 .0,Phillip Lindsay,False
2019,6,1,200 .0,Jarvis Landry,False
2019,6,2,B T C,Duke Johnson,False
2019,6,3,Full Chubb,Cooper Kupp,False
2019,6,4,Dont call it  A come back,T.Y. Hilton,False
2019,6,5,New Season New me,James White,False
2019,6,6,Fourn(ette) ication,Tyler Lockett,False
2019,6,7,Doug Dimmadome,Calvin Ridley,False
2019,6,8,I  Absolutely suck,Marlon Mack,False
2019,6,9,Autodrafts 2.0,Alshon Jeffery,False
2019,6,10,Second Round Bye,Josh Gordon,False
2019,7,1,Second Round Bye,Matt Ryan,False
2019,7,2,Autodrafts 2.0,Evan Engram,False
2019,7,3,I  Absolutely suck,DJ Moore,False
2019,7,4,Doug Dimmadome,O.J. Howard,False
2019,7,5,Fourn(ette) ication,David Montgomery,False
2019,7,6,New Season New me,Jared Cook,False
2019,7,7,Dont call it  A come back,Vance McDonald,False
2019,7,8,Full Chubb,Baker Mayfield,False
2019,7,9,B T C,Hunter Henry,False
2019,7,10,200 .0,Allen Robinson II,False
2019,8,1,200 .0,Kenyan Drake,False
2019,8,2,B T C,Darwin Thompson,False
2019,8,3,Full Chubb,Robby Anderson,False
2019,8,4,Dont call it  A come back,Mike Williams,False
2019,8,5,New Season New me,Dede Westbrook,False
2019,8,6,Fourn(ette) ication,Sammy Watkins,False
2019,8,7,Doug Dimmadome,Will Fuller V,False
2019,8,8,I  Absolutely suck,Bears D/ST,False
2019,8,9,Autodrafts 2.0,Tarik Cohen,False
2019,8,10,Second Round Bye,Derrius Guice,False
2019,9,1,Second Round Bye,Rashaad Penny,False
2019,9,2,Autodrafts 2.0,Sterling Shepard,False
2019,9,3,I  Absolutely suck,Emmanuel Sanders,False
2019,9,4,Doug Dimmadome,Cam Newton,False
2019,9,5,Fourn(ette) ication,Austin Ekeler,False
2019,9,6,New Season New me,Marvin Jones Jr.,False
2019,9,7,Dont call it  A come back,Miles Sanders,False
2019,9,8,Full Chubb,Tevin Coleman,False
2019,9,9,B T C,Geronimo Allison,False
2019,9,10,200 .0,Greg Zuerlein,False
2019,10,1,200 .0,Trey Burton,False
2019,10,2,B T C,Latavius Murray,False
2019,10,3,Full Chubb,Christian Kirk,False
2019,10,4,Dont call it  A come back,Greg Olsen,False
2019,10,5,New Season New me,Larry Fitzgerald,False
2019,10,6,Fourn(ette) ication,Darrell Henderson Jr.,False
2019,10,7,Doug Dimmadome,DK Metcalf,False
2019,10,8,I  Absolutely suck,Delanie Walker,False
2019,10,9,Autodrafts 2.0,Carson Wentz,False
2019,10,10,Second Round Bye,Jordan Howard,False
2019,11,1,Second Round Bye,Royce Freeman,False
2019,11,2,Autodrafts 2.0,Nyheim Hines,False
2019,11,3,I  Absolutely suck,Peyton Barber,False
2019,11,4,Doug Dimmadome,Saints D/ST,False
2019,11,5,Fourn(ette) ication,James Washington,False
2019,11,6,New Season New me,Kareem Hunt,False
2019,11,7,Dont call it  A come back,Rams D/ST,False
2019,11,8,Full Chubb,Curtis Samuel,False
2019,11,9,B T C,Harrison Butker,False
2019,11,10,200 .0,LeSean McCoy,False
2019,12,1,200 .0,Vikings D/ST,False
2019,12,2,B T C,Tom Brady,False
2019,12,3,Full Chubb,David Njoku,False
2019,12,4,Dont call it  A come back,Ben Roethlisberger,False
2019,12,5,New Season New me,Dion Lewis,False
2019,12,6,Fourn(ette) ication,Jaguars D/ST,False
2019,12,7,Doug Dimmadome,Matt Breida,False
2019,12,8,I  Absolutely suck,Corey Davis,False
2019,12,9,Autodrafts 2.0,Dak Prescott,False
2019,12,10,Second Round Bye,Austin Hooper,False
2019,13,1,Second Round Bye,Keke Coutee,False
2019,13,2,Autodrafts 2.0,Jamison Crowder,False
2019,13,3,I  Absolutely suck,Jared Goff,False
2019,13,4,Doug Dimmadome,Justin Tucker,False
2019,13,5,Fourn(ette) ication,Courtland Sutton,False
2019,13,6,New Season New me,Texans D/ST,False
2019,13,7,Dont call it  A come back,Wil Lutz,False
2019,13,8,Full Chubb,Russell Wilson,False
2019,13,9,B T C,Chargers D/ST,False
2019,13,10,200 .0,Jimmy Graham,False
2019,14,1,200 .0,Philip Rivers,False
2019,14,2,B T C,Jameis Winston,False
2019,14,3,Full Chubb,Kalen Ballage,False
2019,14,4,Dont call it  A come back,Michael Gallup,False
2019,14,5,New Season New me,Ka'imi Fairbairn,False
2019,14,6,Fourn(ette) ication,Kyler Murray,False
2019,14,7,Doug Dimmadome,Kirk Cousins,False
2019,14,8,I  Absolutely suck,Dante Pettis,False
2019,14,9,Autodrafts 2.0,Ronald Jones II,False
2019,14,10,Second Round Bye,Marquez Valdes-Scantling,False
2019,15,1,Second Round Bye,Broncos D/ST,False
2019,15,2,Autodrafts 2.0,Bills D/ST,False
2019,15,3,I  Absolutely suck,Stephen Gostkowski,False
2019,15,4,Doug Dimmadome,Donte Moncrief,False
2019,15,5,Fourn(ette) ication,DeSean Jackson,False
2019,15,6,New Season New me,Damarea Crockett,False
2019,15,7,Dont call it  A come back,Tyrell Williams,False
2019,15,8,Full Chubb,Eagles D/ST,False
2019,15,9,B T C,Golden Tate,False
2019,15,10,200 .0,Mohamed Sanu Sr.,False
2019,16,1,200 .0,Nelson Agholor,False
2019,16,2,B T C,Jamaal Williams,False
2019,16,3,Full Chubb,Robbie Gould,False
2019,16,4,Dont call it  A come back,Anthony Miller,False
2019,16,5,New Season New me,Tony Pollard,False
2019,16,6,Fourn(ette) ication,Brett Maher,False
2019,16,7,Doug Dimmadome,Giovani Bernard,False
2019,16,8,I  Absolutely suck,Kenny Stills,False
2019,16,9,Autodrafts 2.0,Michael Badgley,False
2019,16,10,Second Round Bye,Matt Prater,False
2020,1,1,Fantasy  Football Team ,Christian McCaffrey,False
2020,1,2,Full Chubb,Saquon Barkley,False
2020,1,3,B T C,Ezekiel Elliott,False
2020,1,4,Weak  Knees,Dalvin Cook,False
2020,1,5,Stop Scoring  On Me,Michael Thomas,False
2020,1,6,Trust the Process,Patrick Mahomes,False
2020,1,7,The Sicilian  Defense ,Alvin Kamara,False
2020,1,8,First Round Manager ,Derrick Henry,False
2020,1,9,Herbert Fully Loaded,Clyde Edwards-Helaire,False
2020,1,10,Doug Dimmadome,Josh Jacobs,False
2020,2,1,Doug Dimmadome,Davante Adams,False
2020,2,2,Herbert Fully Loaded,Joe Mixon,False
2020,2,3,First Round Manager ,DeAndre Hopkins,False
2020,2,4,The Sicilian  Defense ,Tyreek Hill,False
2020,2,5,Trust the Process,Nick Chubb,False
2020,2,6,Stop Scoring  On Me,Travis Kelce,False
2020,2,7,Weak  Knees,Chris Godwin,False
2020,2,8,B T C,Kenyan Drake,False
2020,2,9,Full Chubb,Julio Jones,False
2020,2,10,Fantasy  Football Team ,Leonard Fournette,False
2020,3,1,Fantasy  Football Team ,Amari Cooper,False
2020,3,2,Full Chubb,Miles Sanders,False
2020,3,3,B T C,George Kittle,False
2020,3,4,Weak  Knees,JuJu Smith-Schuster,False
2020,3,5,Stop Scoring  On Me,Aaron Jones,False
2020,3,6,Trust the Process,Jonathan Taylor,False
2020,3,7,The Sicilian  Defense ,Mike Evans,False
2020,3,8,First Round Manager ,Austin Ekeler,False
2020,3,9,Herbert Fully Loaded,Odell Beckham Jr.,False
2020,3,10,Doug Dimmadome,Adam Thielen,False
2020,4,1,Doug Dimmadome,Lamar Jackson,False
2020,4,2,Herbert Fully Loaded,Chris Carson,False
2020,4,3,First Round Manager ,Kenny Golladay,False
2020,4,4,The Sicilian  Defense ,David Johnson,False
2020,4,5,Trust the Process,DJ Moore,False
2020,4,6,Stop Scoring  On Me,James Conner,False
2020,4,7,Weak  Knees,Cooper Kupp,False
2020,4,8,B T C,T.Y. Hilton,False
2020,4,9,Full Chubb,Allen Robinson II,False
2020,4,10,Fantasy  Football Team ,Mark Andrews,False
2020,5,1,Fantasy  Football Team ,DK Metcalf,False
2020,5,2,Full Chubb,Robert Woods,False
